state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Jammu & Kashmir,Leh,3694.0,12.0,1.0,Safe
Jharkhand,Bokaro,23081.0,5488.0,34.0,Safe
Jharkhand,Chatra,28772.0,8886.0,36.0,Safe
Jharkhand,Deoghar,23733.0,5527.0,35.0,Safe
Jharkhand,Dhanbad,14943.0,3715.0,56.0,Safe
Jharkhand,Dumka,27191.0,5635.0,28.0,Safe
Jharkhand,E-Singhbhum,29100.0,3138.0,23.0,Safe
Jharkhand,Garhwa,30986.0,9221.0,36.0,Safe
Jharkhand,Giridih,43695.0,12308.0,37.0,Safe
Jharkhand,Godda,14271.0,4369.0,45.0,Safe
Jharkhand,Gumla,38478.0,9094.0,28.0,Safe
Jharkhand,Hazaribagh,34250.0,11022.0,42.0,Safe
Jharkhand,Jamtara,16407.0,3268.0,28.0,Safe
Jharkhand,Khunti,15107.0,3728.0,29.0,Safe
Jharkhand,Koderma,7572.0,1818.0,36.0,Safe
Jharkhand,Latehar,24617.0,5772.0,28.0,Safe
Jharkhand,Lohardaga,10058.0,3498.0,41.0,Safe
Jharkhand,Pakur,13783.0,785.0,15.0,Safe
Jharkhand,Palamu,35676.0,9633.0,34.0,Safe
Jharkhand,Ramgarh,12635.0,3237.0,40.0,Safe
Jharkhand,Ranchi,36587.0,11404.0,48.0,Safe
Jharkhand,Sahebganj,13228.0,957.0,23.0,Safe
Jharkhand,Saraikela,19465.0,690.0,17.0,Safe
Jharkhand,Simdega,27828.0,7021.0,29.0,Safe
Jharkhand,W-Singhbhum,34742.0,1064.0,12.0,Safe
Karnataka,Bagalkote,39574.0,32904.0,91.0,Critical
Karnataka,Bangalore Rural,20184.0,22376.0,127.0,Over-Exploited
Karnataka,Bangalore Urban,12746.0,12229.0,141.0,Over-Exploited
Karnataka,Belgaum,103436.0,73925.0,78.0,Semi-Critical
Karnataka,Bellary,65966.0,24363.0,42.0,Safe
Karnataka,Bidar,30680.0,15732.0,57.0,Safe
Karnataka,Bijapur,47410.0,30634.0,75.0,Semi-Critical
Karnataka,Chamrajnagara,34322.0,26170.0,80.0,Semi-Critical
Karnataka,Chikballapur,29883.0,40612.0,145.0,Over-Exploited
Karnataka,Chikmagalur,56402.0,22015.0,43.0,Safe
Karnataka,Chitradurga,49677.0,47941.0,102.0,Over-Exploited
Karnataka,Dakshin Kannada,32404.0,19414.0,69.0,Safe
Karnataka,Davangere,55952.0,46814.0,89.0,Semi-Critical
Karnataka,Dharwad,21745.0,11850.0,59.0,Safe
Karnataka,Gadag,24957.0,20613.0,89.0,Semi-Critical
