state,district,monsoon_recharge_rainfall,monsoon_recharge_other,nonmonsoon_recharge_rainfall,nonmonsoon_recharge_other,total_recharge_ham,natural_discharge_ham,net_gw_availability_ham,gw_draft_irrigation_ham,gw_draft_domestic_ind_ham,gw_draft_total_ham,projected_demand_2025_ham,net_gw_future_irrigation_ham,stage_pct,category
Sikkim,East,,,,,,,782.0,77.0,400.0,477.0,489.0,216.0,61.0,Safe
Sikkim,West,,,,,,,2062.0,81.0,189.0,269.0,219.0,1763.0,13.0,Safe
Tamil Nadu,Ariyalur,14374.0,15999.0,1851.0,2772.0,34996.0,3500.0,31497.0,13793.0,2359.0,16152.0,2506.0,15198.0,51.0,Safe
Tamil Nadu,Chennai,1228.0,844.0,84.0,851.0,3007.0,301.0,2707.0,,6125.0,6125.0,6961.0,-4255.0,226.0,Over-Exploited
Tamil Nadu,Coimbatore,22784.0,10007.0,5971.0,9995.0,48757.0,4876.0,43881.0,44920.0,5695.0,50615.0,5338.0,-6376.0,115.0,Over-Exploited
Tamil Nadu,Cuddalore,55022.0,70431.0,7592.0,4409.0,137454.0,13745.0,123708.0,49902.0,56774.0,106676.0,57188.0,16619.0,86.0,Semi-Critical
Tamil Nadu,Dharmapuri,18693.0,15364.0,3936.0,3767.0,41760.0,4176.0,37584.0,47799.0,1931.0,49730.0,2191.0,-12406.0,132.0,Over-Exploited
Tamil Nadu,Dindigul,23317.0,15306.0,6732.0,14261.0,59617.0,5962.0,53656.0,61267.0,2408.0,63675.0,2745.0,-10356.0,119.0,Over-Exploited
Tamil Nadu,Erode,17229.0,47984.0,4619.0,7505.0,77336.0,7734.0,69603.0,58656.0,6512.0,65168.0,6986.0,3961.0,94.0,Critical
Tamil Nadu,Kanchipuram,37896.0,62020.0,3830.0,13504.0,117250.0,11725.0,105525.0,63840.0,5579.0,69419.0,8940.0,32746.0,66.0,Safe
Tamil Nadu,Kanniyakumari,2533.0,18039.0,9783.0,3473.0,33829.0,3383.0,30446.0,4257.0,1486.0,5743.0,1623.0,24566.0,19.0,Safe
Tamil Nadu,Karur,13116.0,15136.0,4249.0,3414.0,35914.0,3591.0,32323.0,27922.0,1942.0,29864.0,2207.0,2194.0,92.0,Critical
Tamil Nadu,Krishnagiri,19842.0,11431.0,5029.0,3135.0,39437.0,3944.0,35494.0,45189.0,1954.0,47144.0,2782.0,-12478.0,133.0,Over-Exploited
Tamil Nadu,Madurai,14420.0,45407.0,4475.0,8885.0,73186.0,7319.0,65868.0,36412.0,1615.0,38027.0,1836.0,27620.0,58.0,Safe
Tamil Nadu,Nagapattinam,8026.0,7311.0,1001.0,1347.0,17684.0,1768.0,15916.0,15168.0,1121.0,16288.0,1274.0,-525.0,102.0,Over-Exploited
Tamil Nadu,Namakkal,14872.0,31112.0,3820.0,4832.0,54637.0,5464.0,49173.0,41563.0,2421.0,43984.0,1915.0,5695.0,89.0,Semi-Critical
Tamil Nadu,Nilgiri,10390.0,139.0,2583.0,104.0,13216.0,1322.0,11894.0,545.0,587.0,1131.0,625.0,10724.0,10.0,Safe
Tamil Nadu,Perambalur,8992.0,8970.0,2578.0,2530.0,23069.0,2307.0,20762.0,27053.0,1024.0,28076.0,1118.0,-7408.0,135.0,Over-Exploited
Tamil Nadu,Pudukkottai,78395.0,52619.0,13699.0,14296.0,159009.0,15901.0,143108.0,29139.0,2299.0,31438.0,2427.0,111542.0,22.0,Safe
Tamil Nadu,Ramanathapuram,26400.0,32551.0,8191.0,8712.0,75854.0,7585.0,68268.0,4856.0,3115.0,7970.0,3540.0,59872.0,12.0,Safe
Tamil Nadu,Salem,24115.0,19454.0,5155.0,9450.0,58174.0,5817.0,52356.0,80527.0,5105.0,85632.0,2866.0,-31037.0,164.0,Over-Exploited
Tamil Nadu,Sivagangai,26386.0,58885.0,6826.0,17446.0,109543.0,10954.0,98589.0,14120.0,1596.0,15716.0,1782.0,82687.0,16.0,Safe
Tamil Nadu,Thanjavur,32512.0,40275.0,5469.0,9416.0,87673.0,8767.0,78905.0,79511.0,2421.0,81933.0,2752.0,-3358.0,104.0,Over-Exploited
Tamil Nadu,Theni,9217.0,14943.0,8315.0,7211.0,39686.0,3969.0,35718.0,28804.0,1973.0,30778.0,2104.0,4809.0,86.0,Semi-Critical
Tamil Nadu,Thiruvallur,28054.0,48973.0,2042.0,1864.0,80933.0,8093.0,72840.0,28804.0,20485.0,49289.0,21133.0,22902.0,68.0,Safe
Tamil Nadu,Thoothukudi,17598.0,29460.0,6071.0,7377.0,60507.0,6051.0,54456.0,19506.0,4030.0,23536.0,4565.0,30385.0,43.0,Safe
